agl2_1_act_mae_angle_error,agl2_1_act_mse_angle_error,agl2_2_act_mae_angle_error,agl2_2_act_mse_angle_error,agl2_3_act_mae_angle_error,agl2_3_act_mse_angle_error,agl2_4_act_mae_angle_error,agl2_4_act_mse_angle_error,agl2_5_act_mae_angle_error,agl2_5_act_mse_angle_error,agl2_6_act_mae_angle_error,agl2_6_act_mse_angle_error,agl_1_act_mae_angle_error,agl_1_act_mse_angle_error,agl_2_act_mae_angle_error,agl_2_act_mse_angle_error,agl_3_act_mae_angle_error,agl_3_act_mse_angle_error,agl_4_act_mae_angle_error,agl_4_act_mse_angle_error,agl_5_act_mae_angle_error,agl_5_act_mse_angle_error,agl_6_act_mae_angle_error,agl_6_act_mse_angle_error,epoch,gripper_act2_mae_width_error,gripper_act2_mse_width_error,gripper_act_mae_width_error,gripper_act_mse_width_error,step,train_loss_epoch,train_loss_step,val_loss
1.3508855104446411,2.5557150840759277,3.772855520248413,28.362361907958984,4.893863677978516,33.971221923828125,1.8069275617599487,4.598249435424805,2.2812912464141846,9.350652694702148,2.7828526496887207,12.914897918701172,0.03456207737326622,0.001753109390847385,7.006595611572266,67.1163101196289,1.7098164558410645,4.249153137207031,0.172611266374588,0.048237454146146774,3.5209312438964844,17.894474029541016,6.489739418029785,57.63829040527344,0,3.899921178817749,23.546661376953125,4.6422858238220215,31.514986038208008,9,,,30.010522842407227
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,9,55.59587097167969,,
1.0096007585525513,2.0222537517547607,5.835479736328125,56.90467834472656,6.128582000732422,63.241912841796875,1.6991649866104126,5.812949180603027,2.562893867492676,9.590120315551758,2.546785831451416,11.069751739501953,0.045063674449920654,0.00308011076413095,7.043081283569336,75.36620330810547,1.6101016998291016,4.407646179199219,0.18270084261894226,0.05248646438121796,3.9503321647644043,23.720247268676758,6.09014368057251,53.548805236816406,1,4.177014350891113,23.889184951782227,5.571903705596924,52.6959342956543,19,,,12.057599067687988
,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,19,29.082796096801758,,
0.8981984257698059,1.38835871219635,5.131080627441406,50.84119415283203,6.029706001281738,56.49460983276367,1.4448132514953613,4.485660552978516,2.510772228240967,9.89911937713623,2.4449028968811035,9.516050338745117,0.043964602053165436,0.0028612264432013035,6.317344665527344,53.59462356567383,1.884725570678711,5.860171318054199,0.1990024447441101,0.05953865870833397,4.407808303833008,27.93700408935547,5.941295623779297,53.94206237792969,2,4.263252258300781,24.726964950561523,5.147849082946777,46.61310577392578,29,,,3.466538667678833
,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,29,10.9259614944458,,
0.8232051134109497,1.0622631311416626,4.232011795043945,40.48198699951172,5.515492916107178,47.93238067626953,1.1527155637741089,3.185802459716797,2.5691518783569336,10.237202644348145,2.452455997467041,9.287811279296875,0.03657596930861473,0.002071067690849304,5.187343597412109,37.54862594604492,2.045510768890381,5.961944580078125,0.17967793345451355,0.04872623458504677,3.818404197692871,21.59604263305664,5.98445987701416,51.61449432373047,3,3.756368398666382,19.475873947143555,4.363221645355225,33.21315383911133,39,,,1.410451054573059
,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,39,4.865660667419434,,
,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,49,,3.385957717895508,
0.7946256399154663,0.9240134954452515,3.9756321907043457,35.24304962158203,5.15329122543335,40.861427307128906,1.0447936058044434,2.5279102325439453,2.4378838539123535,8.784112930297852,2.3992080688476562,8.810262680053711,0.03299416974186897,0.0016010687686502934,4.469151020050049,28.870059967041016,2.0557050704956055,5.904932022094727,0.15930868685245514,0.04108554869890213,3.5365195274353027,18.343013763427734,6.0470356941223145,49.28852462768555,4,3.3757238388061523,15.776304244995117,3.8938896656036377,26.14840316772461,49,,,1.0531619787216187
,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,49,3.3858017921447754,,
