epoch,step,train_loss_epoch,train_loss_step,val_loss
0,9,,,30.010522842407227
0,9,55.59587097167969,,
1,19,,,12.057599067687988
1,19,29.082796096801758,,
2,29,,,3.466538667678833
2,29,10.9259614944458,,
3,39,,,1.410451054573059
3,39,4.865660667419434,,
4,49,,3.385957717895508,
4,49,,,1.0531619787216187
4,49,3.3858017921447754,,
